utilization,dm_fraction_schedulable,edf_fraction_schedulable,n_samples
0.5,0.875,0.93,400
0.6,0.805,0.875,400
0.7,0.695,0.8125,400
0.75,0.5625,0.7325,400
0.8,0.39,0.6425,400
0.85,0.225,0.4925,400
0.9,0.14,0.3825,400
0.95,0.035,0.185,400
1.0,0.0,0.045,400
