sample,priority_rank,task_id,deadline,dm_misses,edf_misses,dm_miss_fraction,edf_miss_fraction
39,1,1,10,0,0,0.0,0.0
39,2,0,28,0,0,0.0,0.0
39,3,5,93,0,0,0.0,0.0
39,4,3,131,0,0,0.0,0.0
39,5,2,195,0,0,0.0,0.0
40,0,4,4,0,0,0.0,0.0
40,1,5,28,0,0,0.0,0.0
40,2,0,41,0,0,0.0,0.0
40,3,3,102,0,0,0.0,0.0
40,4,2,120,0,0,0.0,0.0
40,5,1,848,0,0,0.0,0.0
41,0,5,28,0,0,0.0,0.0
41,1,0,33,0,0,0.0,0.0
41,2,4,66,0,0,0.0,0.0
41,3,2,104,0,0,0.0,0.0
41,4,1,119,0,0,0.0,0.0
41,5,3,766,0,0,0.0,0.0
42,0,5,12,0,0,0.0,0.0
42,1,2,37,0,0,0.0,0.0
42,2,0,218,0,0,0.0,0.0
42,3,1,243,0,0,0.0,0.0
42,4,4,327,0,0,0.0,0.0
42,5,3,405,0,0,0.0,0.0
43,0,5,7,0,0,0.0,0.0
43,1,3,15,0,0,0.0,0.0
43,2,1,24,0,0,0.0,0.0
43,3,4,33,3,0,1.0,0.0
43,4,2,107,0,0,0.0,0.0
43,5,0,609,0,0,0.0,0.0
44,0,1,3,0,47,0.0,0.35877862595419846
44,1,4,25,0,29,0.0,0.22137404580152673
44,2,5,30,0,22,0.0,0.16793893129770993
44,3,2,131,0,3,0.0,0.022900763358778626
44,4,0,159,0,13,0.0,0.09923664122137404
44,5,3,174,99,17,1.0,0.1297709923664122
45,0,4,2,0,10,0.0,0.37037037037037035
45,1,5,15,0,3,0.0,0.1111111111111111
45,2,2,56,7,5,0.4117647058823529,0.18518518518518517
45,3,0,82,0,1,0.0,0.037037037037037035
45,4,3,108,10,8,0.5882352941176471,0.2962962962962963
45,5,1,821,0,0,0.0,0.0
46,0,0,12,0,0,0.0,0.0
46,1,4,114,0,0,0.0,0.0
46,2,1,157,0,0,0.0,0.0
46,3,2,329,0,0,0.0,0.0
46,4,3,357,0,0,0.0,0.0
